status,match_type,old_url,old_slug,species_id,spanish_name,current_slug,suggested_slug,order,family
NO_MATCH,,Anseriformes/Fotos_Pato.html,Pato,,,,Pato,Anseriformes,
NO_MATCH,,Anseriformes/Fotos_PatoDeTorrente.html,PatoDeTorrente,,,,PatoDeTorrente,Anseriformes,
NO_MATCH,,Charadriiformes/FotosPlayerasC_EscuaComun.html,EscuaComun,,,,EscuaComun,Charadriiformes,
NO_MATCH,,Charadriiformes/FotosPlayerasB_PlayeroPectoral.html,PlayeroPectoral,,,,PlayeroPectoral,Charadriiformes,
NO_MATCH,,Charadriiformes/FotosPlayerasB_PlayeroZancudo.html,PlayeroZancudo,,,,PlayeroZancudo,Charadriiformes,
NO_MATCH,,Columbiformes/Fotos_PalomaAlaBlanca.html,PalomaAlaBlanca,,,,PalomaAlaBlanca,Columbiformes,
NO_MATCH,,Columbiformes/Fotos_PalomaAlaManchada.html,PalomaAlaManchada,,,,PalomaAlaManchada,Columbiformes,
NO_MATCH,,Columbiformes/Fotos_PalomaMoteada.html,PalomaMoteada,,,,PalomaMoteada,Columbiformes,
NO_MATCH,,Galliformes/Fotos_CodornizDeCalifornia.html,CodornizDeCalifornia,,,,CodornizDeCalifornia,Galliformes,
NO_MATCH,,Gruiformes/FotosGruiformes-GallaretaERojo.html,GallaretaERojo,,,,GallaretaERojo,Gruiformes,
NO_MATCH,,Gruiformes/FotosGruiformes-GallaretaLRojas.html,GallaretaLRojas,,,,GallaretaLRojas,Gruiformes,
NO_MATCH,,Passeriformes/Furnariidae-Furn/Fotos_BanduritaAndina.html,BanduritaAndina,,,,BanduritaAndina,Passeriformes,Furnariidae-Furn
NO_MATCH,,Passeriformes/Furnariidae-Furn/Fotos_BanduritaComun.html,BanduritaComun,,,,BanduritaComun,Passeriformes,Furnariidae-Furn
NO_MATCH,,Passeriformes/Vireonidae/FotosChivies.html,Chivies,,,,Chivies,Passeriformes,Vireonidae
NO_MATCH,,Passeriformes/Furnariidae-Sina/Fotos_ColuditoQuebradeno.html,ColuditoQuebradeno,,,,ColuditoQuebradeno,Passeriformes,Furnariidae-Sina
NO_MATCH,,Passeriformes/Thraupidae/Fotos_DiucaAlaBlanca.html,DiucaAlaBlanca,,,,DiucaAlaBlanca,Passeriformes,Thraupidae
NO_MATCH,,Passeriformes/Tyrannidae/Fotos_FiofioSibon.html,FiofioSibon,,,,FiofioSibon,Passeriformes,Tyrannidae
NO_MATCH,,Passeriformes/IncertaeSedis/FotosInsertisSedis.html,InsertisSedis,,,,InsertisSedis,Passeriformes,IncertaeSedis
NO_MATCH,,Passeriformes/Tyrannidae/Fotos_MosquetaX.html,MosquetaX,,,,MosquetaX,Passeriformes,Tyrannidae
NO_MATCH,,Passeriformes/Furnariidae-Sina/Fotos_PijuCoronaRojiza.html,PijuCoronaRojiza,,,,PijuCoronaRojiza,Passeriformes,Furnariidae-Sina
NO_MATCH,,Passeriformes/Polioptilidae/Fotos_TacuartitaAzul.html,TacuartitaAzul,,,,TacuartitaAzul,Passeriformes,Polioptilidae
NO_MATCH,,Passeriformes/Thraupidae/Fotos_Thr.html,Thr,,,,Thr,Passeriformes,Thraupidae
